Ref. Des.,QTY,Value,MPN,Description,Manufacturer,Package
"ATTACK, GRUNT",2,SPDT,MTS-103R-A2,ON-OFF-ON SPDT 3 POSITION 3A 250VAC MINI TOGGLE SWITCH,DAIER,th-switch-mts-103
"BLEND, VOL",2,100kB,RV16AF-41-15R1-B100K,100K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND,Alpha Taiwan,th-pot-rv16af-41
BRIGHT,1,10k,3362P-1-103LF,TRIMPOT 10K LIN TOP ADJUST,Bourns,th-trimmer-3362P
"C1, C2",2,100u,MCVVT025M101EA6L,CAPACITOR ALUM 100UF 25V ±20%,Multicomp,smd-capacitor-elec-d-6.3x7.7
"C3, C4, C6, C8, C9, C11, C12, C13",8,100n,MC0603B104K500CT,CAPACITOR MLCC 100NF X7R 0603 50V ±10%,Multicomp,smd-capacitor-0603
C5,1,47u,MCVVT025M470EA1L,CAPACITOR ALUM 47UF 25V ±20%,Multicomp,smd-capacitor-elec-d-6.3x5.4
"C7, C10",2,10u,MCVVT025M100CA1L,CAPACITOR ALUM 10UF 25V ±20%,Multicomp,smd-capacitor-elec-b-4x5.4
"C14, C22",2,100n,GRM31C5C1H104JA01L,CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%,Murata,smd-capacitor-1206
"C15, C30, C31, C32",4,1n,GRM1885C1H102JA01D,CAPACITOR MLCC 1NF C0G/NP0 0603 50V ±5%,Murata,smd-capacitor-0603
"C16, C23",2,220n,GCM188R71H224KA64D,CAPACITOR MLCC 220NF X7R 0603 50V ±10%,Murata,smd-capacitor-0603
"C17, C18, C19, C20, C24, C29",6,22n,GRM21B5C1H223JA01L,CAPACITOR MLCC 22NF C0G/NP0 0805 50V ±5%,Murata,smd-capacitor-0805
"C21, C26",2,220p,MC0603N221J500CT,CAPACITOR MLCC 220PF C0G/NP0 0603 50V ±5%,Multicomp,smd-capacitor-0603
C25,1,4.7n,GRM1885C1H472JA01D,CAPACITOR MLCC 4.7NF C0G/NP0 0603 50V ±5%,Murata,smd-capacitor-0603
C27,1,1u,ECP-U1C105MA5,CAPACITOR FILM 1u 1210 16V ±20%,Panasonic,smd-capacitor-film-g2
C28,1,680p,MC0603N681J500CT,CAPACITOR MLCC 680PF C0G/NP0 0603 50V ±5%,Multicomp,smd-capacitor-0603
C33,1,2.2n,GRM1885C1H222JA01D,CAPACITOR MLCC 2.2NF C0G/NP0 0603 50V ±5%,Murata,smd-capacitor-0603
C34,1,2.2u,EEEFC1H2R2R,CAPACITOR ALUM 2.2UF 50V LESR ±20%,Panasonic,smd-capacitor-elec-b-4x5.4
D1,1,S1A,S1A,DIODE RECTIFIER 50V 1A SMA,ON Semiconductor,smd-diode-do-214
"D2, D3, D4",3,1N4148,1N4148WS,DIODE SMALL SIGNAL 75V 150MA SOD,ON Semiconductor,smd-diode-sod-323
"DC, FSW, LED",3,B2B-XH-A,B2B-XH-A,HEADER XH MALE 1X2 PINS,JST,th-connector-b2b-xh
DRIVE,1,100kC,RV16AF-41-15R1-C100K,100K OHM ANTI-LOG TAPER POTENTIOMETER PCB MOUNT ROUND,Alpha Taiwan,th-pot-rv16af-41
IC1,1,TL072IDT,TL072IDT,OPAMP DUAL LOW NOISE JFET,Texas Instrument,smd-generic-soic-8
IC2,1,CD4049,CD4049UBD,HEX INVERTING BUFFER/CONVERTER,Texas Instrument,smd-generic-so-16
IC3,1,TL074,TL074IDT,OPAMP QUAD LOW NOISE JFET,Texas Instrument,smd-generic-soic-14
"INPUT, OUTPUT",2,ACJS-IH,ACJS-IH,JACK STEREO 6.35MM SWITCHED,Amphenol,th-connector-jack-acjs
K1,1,G6K-2F 5DC,G6K-2F 5DC,RELAY 5 VDC DPDT 1A NON LATCHING,Omron,smd-relay-g6k
MODE,1,418117270901,418117270901,SWITC H DIP 1P,Wurth Elektronik,th-switch-dip-1way
OK1,1,TLP175A,TLP175A,MOSFET OUTPUT PHOTOCOUPLER,Toshiba,smd-photorelay-so4
PROG,1,2212S-06SG-85,2212S-06SG-85,SOCKET FEMALE 1X6 PINS,Multicomp,th-connector-header-female-1x6pins
Q1,1,MMBT2222,MMBT2222AWT1G,TRANSISTOR NPN 40V 0.6A SOT323,ON Semiconductor,smd-generic-sot-323-3
"Q2, Q3",2,J201,MMBFJ201,JFET N-CH 25V 350MW SOT23,ON Semiconductor,smd-generic-sot-23-3
R1,1,47R,CRCW120647R0FKEA,RESISTOR 47 OHM 1% 1/4W 1206,Multicomp,smd-resistor-1206
"R2, R3",2,10k,CRCW120610K0FKEA,RESISTOR 10K OHM 1% 1/4W 1206,Multicomp,smd-resistor-1206
R4,1,100R,CRCW1206100RFKEA,RESISTOR 100 OHM 1% 1/4W 1206,Multicomp,smd-resistor-1206
"R5, R34",2,1k,CRCW06031K00FKEA,RESISTOR 1K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R6,1,20k,CRCW060320K0FKEA,RESISTOR 20K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R7,1,220R,CRCW1206220RFKEA,RESISTOR 220 OHM 1% 1/4W 1206,Multicomp,smd-resistor-1206
"R8, R10",2,2.2M,CRCW06032M20FKEA,RESISTOR 2.2M OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R9, R26, R30",3,10k,CRCW060310K0FKEA,RESISTOR 10K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R11, R28, R35",3,100k,CRCW0603100KFKEA,RESISTOR 100K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R12, R14, R15, R21, R27",5,1M,CRCW06031M00FKEA,RESISTOR 1M OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R13, R23",2,3.3k,CRCW06033K30FKEA,RESISTOR 3.3K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R16,1,200k,CRCW0603200KFKEA,RESISTOR 200K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R17, R24",2,6.2k,CRCW06036K20FKEA,RESISTOR 6.2K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R18, R31, R32",3,22k,CRCW060322K0FKEA,RESISTOR 22K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"R19, R20, R25",3,470k,CRCW0603470KFKEA,RESISTOR 470K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R22,1,330k,CRCW0603330KFKEA,RESISTOR 330K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R29,1,33k,CRCW060333K0FKEA,RESISTOR 33K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
R33,1,47k,CRCW060347K0FKEA,RESISTOR 47K OHM 1% 1/10W 0603,Multicomp,smd-resistor-0603
"REG1, REG2",2,78L05,TS78L05CXRFG,LINEAR VOLTAGE REGULATOR 5V 0.1A,Taiwan Semiconductor,smd-generic-sot-23-3
U1,1,ATTINY85,ATTINY85-20SU,MCU 8BIT AVR 20MHZ,Atmel,smd-generic-wsoic8
