Ref. Des.,QTY,MPN,Value,Description
BRIGHT,1,3362P-1-103LF,10k,TRIMPOT 10K LIN TOP ADJUST
BUFFER,1,JS202011CQN,JS202011CQN,SLIDE SWITCH DPDT
"C1, C6, C7",3,MCVVT025M101EA6L,100u,CAPACITOR ALUM 100UF 25V ±20%
"C2, C3, C4, C5",4,TMK316B7106KL-TD,10u,CAPACITOR MLCC X7R 10u 1206 25V ±10%
"C8, C9, C10, C11, C13, C14, C16, C17, C18, C27",10,MC0603B104K500CT,100n,CAPACITOR MLCC 100NF X7R 0603 50V ±10%
"C12, C15",2,MCVVT025M100CA1L,10u,CAPACITOR ALUM 10UF 25V ±20%
"C19, C21",2,GRM31C5C1H104JA01L,100n,CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%
"C20, C28",2,EEEFC1V100R,10u,CAPACITOR ALUM 10UF 35V LESR ±20%
C22,1,MC0603N101J500CT,100p,CAPACITOR MLCC 100PF C0G/NP0 0603 50V ±5%
C23,1,EEEFC1H2R2R,2.2u,CAPACITOR ALUM 2.2UF 50V LESR ±20%
"C24, C26",2,GRM1885C1H332JA01D,3.3n,CAPACITOR MLCC 3.3NF C0G/NP0 0603 50V ±5%
C25,1,GCM188R71H224KA64D,220n,CAPACITOR MLCC 220NF X7R 0603 50V ±10%
D1,1,S1A,S1A,DIODE RECTIFIER 50V 1A SMA
"D2, D3, D4, D5, D6",5,SS13FL,SS13,DIODE SCHOTTKY 30V 1A SOD123F
D7,1,1N4148WS,1N4148,DIODE SMALL SIGNAL 75V 150MA SOD
"DC, FSW, LED",3,B2B-XH-A,B2B-XH-A,HEADER XH MALE 1X2 PINS
"GAIN, TONE",2,RV16AF-41-15R1-B100K,100kB,100K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND
IC1,1,ICL7660SCBAZ,ICL7660S,DC DC CHARGE PUMP
"IC2, IC3",2,TL072IDT,TL072IDT,OPAMP DUAL LOW NOISE JFET
"INPUT, OUTPUT",2,ACJS-IH,ACJS-IH,JACK STEREO 6.35MM SWITCHED
K1,1,G6K-2F 5DC,G6K-2F 5DC,RELAY 5 VDC DPDT 1A NON LATCHING
MODE,1,418117270901,418117270901,SWITC H DIP 1P
OK1,1,TLP175A,TLP175A,MOSFET OUTPUT PHOTOCOUPLER
PROG,1,2212S-03SG-85,2212S-03SG-85,HEADER FEMALE 1X3 PINS
Q1,1,MMBT2222AWT1G,MMBT2222,TRANSISTOR NPN 40V 0.6A SOT323
"R1, R6, R9",3,CRCW06031K00FKEA,1k,RESISTOR 1K OHM 1% 1/10W 0603
R2,1,CRCW060320K0FKEA,20k,RESISTOR 20K OHM 1% 1/10W 0603
R3,1,CRCW1206220RFKEA,220R,RESISTOR 220 OHM 1% 1/4W 1206
R4,1,CRCW06031M00FKEA,1M,RESISTOR 1M OHM 1% 1/10W 0603
R5,1,CRCW060310K0FKEA,10k,RESISTOR 10K OHM 1% 1/10W 0603
"R7, R15, R16, R18",4,CRCW0603100KFKEA,100k,RESISTOR 100K OHM 1% 1/10W 0603
"R8, R10",2,CRCW06032M20FKEA,2.2M,RESISTOR 2.2M OHM 1% 1/10W 0603
R11,1,CRCW060315K0FKEA,15k,RESISTOR 15K OHM 1% 1/10W 0603
R12,1,CRCW06033K00FKEA,3k,RESISTOR 3K OHM 1% 1/10W 0603
"R13, R14",2,CRCW060347K0FKEA,47k,RESISTOR 47K OHM 1% 1/10W 0603
R17,1,CRCW0603470RFKEA,470R,RESISTOR 470 OHM 1% 1/10W 0603
"REG1, REG2",2,TS78L05CXRFG,78L05,LINEAR VOLTAGE REGULATOR 5V 0.1A
U1,1,ATTINY202-SSFR,ATTINY202,IC MCU 8BIT 20MHz 2KB
